   9.000   25.000    0.061
   9.000   26.000    0.064
   9.000   27.000    0.066
   9.000   28.000    0.069
   9.000   29.000    0.072
   9.000   30.000    0.075
   9.000   31.000    0.078
   9.000   32.000    0.081
   9.000   33.000    0.084
   9.000   34.000    0.087
   9.000   35.000    0.090
   9.000   36.000    0.093
   9.000   37.000    0.095
   9.000   38.000    0.098
   9.000   39.000    0.100
   9.000   40.000    0.103
   9.000   41.000    0.105
   9.000   42.000    0.107
   9.000   43.000    0.109
   9.000   44.000    0.111
   9.000   45.000    0.112
   9.000   46.000    0.114
   9.000   47.000    0.115
   9.000   48.000    0.116
   9.000   49.000    0.117
   9.000   50.000    0.118
  10.000    1.000    0.002
  10.000    2.000    0.005
  10.000    3.000    0.007
  10.000    4.000    0.009
  10.000    5.000    0.012
  10.000    6.000    0.014
  10.000    7.000    0.017
  10.000    8.000    0.019
  10.000    9.000    0.022
  10.000   10.000    0.024
  10.000   11.000    0.027
  10.000   12.000    0.029
  10.000   13.000    0.032
  10.000   14.000    0.034
  10.000   15.000    0.037
  10.000   16.000    0.040
  10.000   17.000    0.043
  10.000   18.000    0.046
  10.000   19.000    0.049
  10.000   20.000    0.052
  10.000   21.000    0.055
  10.000   22.000    0.058
  10.000   23.000    0.061
  10.000   24.000    0.064
  10.000   25.000    0.067
  10.000   26.000    0.071
  10.000   27.000    0.074
  10.000   28.000    0.077
  10.000   29.000    0.081
  10.000   30.000    0.084
  10.000   31.000    0.087
  10.000   32.000    0.091
  10.000   33.000    0.094
  10.000   34.000    0.097
  10.000   35.000    0.100
  10.000   36.000    0.103
  10.000   37.000    0.107
  10.000   38.000    0.109
  10.000   39.000    0.112
  10.000   40.000    0.115
  10.000   41.000    0.117
  10.000   42.000    0.120
  10.000   43.000    0.122
  10.000   44.000    0.124
  10.000   45.000    0.126
  10.000   46.000    0.127
  10.000   47.000    0.129
  10.000   48.000    0.130
  10.000   49.000    0.131
  10.000   50.000    0.132
  11.000    1.000    0.003
  11.000    2.000    0.005
  11.000    3.000    0.008
  11.000    4.000    0.010
  11.000    5.000    0.013
  11.000    6.000    0.016
  11.000    7.000    0.018
  11.000    8.000    0.021
  11.000    9.000    0.024
  11.000   10.000    0.026
  11.000   11.000    0.029
  11.000   12.000    0.032
  11.000   13.000    0.035
  11.000   14.000    0.038
  11.000   15.000    0.041
  11.000   16.000    0.044
  11.000   17.000    0.047
  11.000   18.000    0.050
  11.000   19.000    0.053
  11.000   20.000    0.057
  11.000   21.000    0.060
  11.000   22.000    0.064
  11.000   23.000    0.067
  11.000   24.000    0.071
  11.000   25.000    0.074
  11.000   26.000    0.078
  11.000   27.000    0.081
  11.000   28.000    0.085
  11.000   29.000    0.089
  11.000   30.000    0.093
  11.000   31.000    0.096
  11.000   32.000    0.100
  11.000   33.000    0.104
  11.000   34.000    0.107
  11.000   35.000    0.111
  11.000   36.000    0.114
  11.000   37.000    0.118
  11.000   38.000    0.121
  11.000   39.000    0.124
  11.000   40.000    0.127
  11.000   41.000    0.130
  11.000   42.000    0.133
  11.000   43.000    0.135
  11.000   44.000    0.137
  11.000   45.000    0.139
  11.000   46.000    0.141
  11.000   47.000    0.143
  11.000   48.000    0.144
  11.000   49.000    0.145
  11.000   50.000    0.146
  12.000    1.000    0.003
  12.000    2.000    0.006
  12.000    3.000    0.008
  12.000    4.000    0.011
  12.000    5.000    0.014
  12.000    6.000    0.017
  12.000    7.000    0.020
  12.000    8.000    0.023
  12.000    9.000    0.026
  12.000   10.000    0.029
  12.000   11.000    0.032
  12.000   12.000    0.035
  12.000   13.000    0.038
  12.000   14.000    0.041
  12.000   15.000    0.045
  12.000   16.000    0.048
  12.000   17.000    0.051
  12.000   18.000    0.055
  12.000   19.000    0.058
  12.000   20.000    0.062
  12.000   21.000    0.066
  12.000   22.000    0.069
  12.000   23.000    0.073
  12.000   24.000    0.077
  12.000   25.000    0.081
  12.000   26.000    0.085
  12.000   27.000    0.089
  12.000   28.000    0.093
  12.000   29.000    0.097
  12.000   30.000    0.101
  12.000   31.000    0.106
  12.000   32.000    0.110
  12.000   33.000    0.114
  12.000   34.000    0.118
  12.000   35.000    0.122
  12.000   36.000    0.126
  12.000   37.000    0.129
  12.000   38.000    0.133
  12.000   39.000    0.137
  12.000   40.000    0.140
  12.000   41.000    0.143
  12.000   42.000    0.146
  12.000   43.000    0.149
  12.000   44.000    0.151
  12.000   45.000    0.153
  12.000   46.000    0.155
  12.000   47.000    0.157
  12.000   48.000    0.159
  12.000   49.000    0.160
  12.000   50.000    0.161
  13.000    1.000    0.003
  13.000    2.000    0.006
  13.000    3.000    0.009
  13.000    4.000    0.012
  13.000    5.000    0.015
  13.000    6.000    0.018
  13.000    7.000    0.021
  13.000    8.000    0.025
  13.000    9.000    0.028
  13.000   10.000    0.031
  13.000   11.000    0.034
  13.000   12.000    0.038
  13.000   13.000    0.041
  13.000   14.000    0.045
  13.000   15.000    0.048
  13.000   16.000    0.052
  13.000   17.000    0.055
  13.000   18.000    0.059
  13.000   19.000    0.063
  13.000   20.000    0.067
  13.000   21.000    0.071
  13.000   22.000    0.075
  13.000   23.000    0.079
  13.000   24.000    0.083
  13.000   25.000    0.088
  13.000   26.000    0.092
  13.000   27.000    0.097
  13.000   28.000    0.101
  13.000   29.000    0.106
  13.000   30.000    0.110
  13.000   31.000    0.115
  13.000   32.000    0.119
  13.000   33.000    0.124
  13.000   34.000    0.128
  13.000   35.000    0.133
  13.000   36.000    0.137
  13.000   37.000    0.141
  13.000   38.000    0.145
  13.000   39.000    0.149
  13.000   40.000    0.153
  13.000   41.000    0.156
  13.000   42.000    0.159
  13.000   43.000    0.162
  13.000   44.000    0.165
  13.000   45.000    0.168
  13.000   46.000    0.170
  13.000   47.000    0.172
  13.000   48.000    0.173
  13.000   49.000    0.175
  13.000   50.000    0.176
  14.000    1.000    0.003
  14.000    2.000    0.007
  14.000    3.000    0.010
  14.000    4.000    0.013
  14.000    5.000    0.016
  14.000    6.000    0.020
  14.000    7.000    0.023
  14.000    8.000    0.026
  14.000    9.000    0.030
  14.000   10.000    0.033
  14.000   11.000    0.037
  14.000   12.000    0.040
  14.000   13.000    0.044
  14.000   14.000    0.048
  14.000   15.000    0.052
  14.000   16.000    0.056
  14.000   17.000    0.060
  14.000   18.000    0.064
  14.000   19.000    0.068
  14.000   20.000    0.072
  14.000   21.000    0.076
  14.000   22.000    0.081
  14.000   23.000    0.085
  14.000   24.000    0.090
  14.000   25.000    0.095
  14.000   26.000    0.099
  14.000   27.000    0.104
  14.000   28.000    0.109
  14.000   29.000    0.114
  14.000   30.000    0.119
  14.000   31.000    0.124
  14.000   32.000    0.129
  14.000   33.000    0.134
  14.000   34.000    0.139
  14.000   35.000    0.144
  14.000   36.000    0.148
  14.000   37.000    0.153
  14.000   38.000    0.157
  14.000   39.000    0.162
  14.000   40.000    0.166
  14.000   41.000    0.170
  14.000   42.000    0.173
  14.000   43.000    0.177
  14.000   44.000    0.180
  14.000   45.000    0.182
  14.000   46.000    0.185
  14.000   47.000    0.187
  14.000   48.000    0.189
  14.000   49.000    0.190
  14.000   50.000    0.191
  15.000    1.000    0.003
  15.000    2.000    0.007
  15.000    3.000    0.010
  15.000    4.000    0.014
  15.000    5.000    0.017
  15.000    6.000    0.021
  15.000    7.000    0.025
  15.000    8.000    0.028
  15.000    9.000    0.032
  15.000   10.000    0.036
  15.000   11.000    0.039
  15.000   12.000    0.043
  15.000   13.000    0.047
  15.000   14.000    0.051
  15.000   15.000    0.055
  15.000   16.000    0.059
  15.000   17.000    0.064
  15.000   18.000    0.068
  15.000   19.000    0.072
  15.000   20.000    0.077
  15.000   21.000    0.082
  15.000   22.000    0.086
  15.000   23.000    0.091
  15.000   24.000    0.096
  15.000   25.000    0.101
  15.000   26.000    0.107
  15.000   27.000    0.112
  15.000   28.000    0.117
  15.000   29.000    0.123
  15.000   30.000    0.128
  15.000   31.000    0.133
  15.000   32.000    0.139
  15.000   33.000    0.144
  15.000   34.000    0.150
  15.000   35.000    0.155
  15.000   36.000    0.160
  15.000   37.000    0.165
  15.000   38.000    0.170
  15.000   39.000    0.175
  15.000   40.000    0.179
  15.000   41.000    0.183
  15.000   42.000    0.187
  15.000   43.000    0.191
  15.000   44.000    0.195
  15.000   45.000    0.198
  15.000   46.000    0.200
  15.000   47.000    0.203
  15.000   48.000    0.205
  15.000   49.000    0.206
  15.000   50.000    0.207
  16.000    1.000    0.004
  16.000    2.000    0.007
  16.000    3.000    0.011
  16.000    4.000    0.015
  16.000    5.000    0.019
  16.000    6.000    0.022
  16.000    7.000    0.026
  16.000    8.000    0.030
  16.000    9.000    0.034
  16.000   10.000    0.038
  16.000   11.000    0.042
  16.000   12.000    0.046
  16.000   13.000    0.050
  16.000   14.000    0.054
  16.000   15.000    0.059
  16.000   16.000    0.063
  16.000   17.000    0.068
  16.000   18.000    0.072
  16.000   19.000    0.077
  16.000   20.000    0.082
  16.000   21.000    0.087
  16.000   22.000    0.092
  16.000   23.000    0.097
  16.000   24.000    0.103
  16.000   25.000    0.108
  16.000   26.000    0.114
  16.000   27.000    0.120
  16.000   28.000    0.125
  16.000   29.000    0.131
  16.000   30.000    0.137
  16.000   31.000    0.143
  16.000   32.000    0.149
  16.000   33.000    0.155
  16.000   34.000    0.161
  16.000   35.000    0.167
  16.000   36.000    0.172
  16.000   37.000    0.178
  16.000   38.000    0.183
  16.000   39.000    0.188
  16.000   40.000    0.193
  16.000   41.000    0.198
  16.000   42.000    0.202
